# Consolidated INTERNAL redirects (replaces per-page #REDIRECT stub files).
# Format: <source page title><TAB><target page title>. One redirect per line.
# Lines starting with '#' and blank lines are ignored. Sorted by source.
# Editable by content maintainers; the static generator reads this at build.
2FA	Moved:Two-factor_authentication_2FA
OpenPGP Certified	Moved:OpenPGP_Certified
Operating System	Dev/Operating System
Operating System Hardening	Moved:Operating_System_Hardening
Operating System Software and Updates	Moved:Operating_System_Software_and_Updates
OperatingSystem	Dev/Operating System
Orca	Moved:Orca
OtherAnonymizingNetworks	Other Anonymizing Networks
OtherOperatingSystems	Other Operating Systems
Out-of-band Management Technology	Moved:Out-of-band_Management_Technology
Owncloud	Moved:Owncloud
PQCrypto	Moved:PQCrypto
Passwords	Moved:Passwords
Pay by PayPal Subscription	Donate/PayPal
Payments	Donate
Payments/AUD	Donate/AUD
Payments/EUR	Donate/EUR
Payments/GBP	Donate/GBP
Payments/USD	Donate/USD
Physical Isolation	Dev/Build Documentation/Physical Isolation
PhysicalIsolation	Dev/Build_Documentation/Physical_Isolation
Point Release	Moved:Point_Release
Policy of Whonix Website and Whonix Chat	Policy of Website and Chat
Pre Install Advice	Computer Security Education
Priority Support	Plus Support
Privacy Policy Technical Details	Moved:Privacy_Policy_Technical_Details
Professional Support	Premium Support
Project on USB	USB Installation
Protection Against Physical Attacks	Moved:Protection_Against_Physical_Attacks
Qubes OS	Qubes
Qubes-Whonix	Qubes
Qubes-Whonix Security	Moved:Kicksecure-Qubes_Security
Qubes/AppArmor	Moved:AppArmor
Qubes/Binary Install	Qubes/Install
Qubes/Binary Update	Moved:Update
Qubes/Clone VMs	Multiple Whonix-Workstation#Cloning_Templates
Qubes/Create Gateway ProxyVMs	Multiple_Whonix-Gateway
Qubes/Create Workstation AppVMs	Multiple_Whonix-Workstation
Qubes/Disposable VM	Qubes/Disposables
Qubes/DisposableVM	Qubes/Disposables
Qubes/Install/Testing	Qubes/Install
Qubes/Reinstall/Testing	Qubes/Reinstall
Qubes/Update	Moved:Update
Quick Start Guide	Documentation
RAM Adjusted Desktop Starter	Moved:RAM_Adjusted_Desktop_Starter
Rads	Moved:RAM Adjusted Desktop Starter
Raw Disk Backup	Moved:Raw_Disk_Backup
Recovery	Moved:Recovery
Reinstall Qubes-Whonix TemplateVMs	Qubes/Reinstall
Reinstall Qubes-Whonix Templates	Qubes/Reinstall
Release Notes	Changelog
Root	Moved:Root
Router and Local Area Network Security	Moved:Router_and_Local_Area_Network_Security
SSL	Moved:SSL
SUID Disabler and Permission Hardener	Moved:SUID_Disabler_and_Permission_Hardener
Sandbox-app-launcher	Moved:Sandbox-app-launcher
SecBrowser in Debian	SecBrowser
SecBrowser/Debian	SecBrowser
SecBrowser/Downloader by Whonix	Tor_Browser#Tor_Browser_Downloader_by_{{project_name_long}}
SecBrowser/Qubes	SecBrowser
SecBrowser/Windows	SecBrowser
SecBrowser/macOS	SecBrowser
Secondary DNS Resolver	Alternative DNS Resolver
Secure Downloads	Moved:Secure_Downloads
Security Hardening Checklist	System Hardening Checklist
Security in Real World	Whonix against Real Attacks
Security-misc	Moved:Security-misc
SecurityGuide	Security Guide
Serial Console	Moved:Recovery
Server Security Guide	Moved:Server_Security_Guide
Signify	Moved:Signify
Social Engineering	Moved:Social_Engineering
Software	Moved:Software
Software Signature Verification Usability Issues and Proposed Solutions	Moved:Software_Signature_Verification_Usability_Issues_and_Proposed_Solutions
Sparse files	Moved:Sparse_files
Spectre Meltdown	Moved:Spectre_Meltdown
Stable Release	Changelog
Stable Version User Experience	Moved:Stable_Version_User_Experience
Starting Whonix	Starting Project
Supported Platforms	Download
Swap	Post_Install_Advice#Increase_Virtual_Machine_RAM
Swap-file-creator	Moved:Swap-file-creator
SysRq	Moved:SysRq
System Check	Moved:System Audit
System Configuration and Access	Moved:System_Configuration_and_Access
Systemcheck	Moved:systemcheck
Systemcheck Hardening	Moved:Systemcheck_Hardening
Systemd-socket-proxyd	Redirect_Whonix-Workstation_Ports_or_Unix_Domain_Socket_Files_to_Whonix-Gateway
TBB	Tor Browser
Team	Contributors
Technical Introduction	Dev/Technical Introduction
Telegram Chat	Project Chat
Template:Firewall Settings Gateway	Template:Firewall Settings
Template:Header2	Template:Header Dev
Template:Pre Install Advice	Template:Computer Security Education
Template:Processor Microcode Updates	Moved:Processor_Microcode_Updates
Template:Professional Support	Template:Premium Support
Template:Professional Support Skills	Template:Premium Support Skills
Template:Systemd-socket-proxyd	Redirect Whonix-Workstation Ports or Unix Domain Socket Files to Whonix-Gateway
Template:Torify apt traffic	Template:Torify APT traffic
Template:Torify apt-get traffic	Template:Torify APT traffic
Template:Verify the virtual machine images	Template:Verify the images
Terms of Use	Terms of Service
Test	Moved:Test
TestVPN	Tunnels/Examples
Testers Release	Changelog
Testpage	Testpage4
Testpage3	Testpage4
This is MediaWiki:Mobile-frontend-terms-url.	Terms of Service
TimeSync	Dev/TimeSync
Tor Browser without Tor	SecBrowser
Tor Browser without Tor/SecBrowser	SecBrowser
Tor Browser/Download Confirmation Screen	Tor_Browser#Download_Confirmation_Screen
Tor Browser/Downloader by Whonix	Tor_Browser#Tor_Browser_Downloader_by
Tor Browser/Installation Confirmation Screen	Tor_Browser#Installation_Confirmation_Screen
Tor Browser/Internal Updater	Tor_Browser#Tor_Browser_Internal_Updater
Tor Messenger	Chat#Tor_Messenger
Tor Versioning	Moved:Tor_Versioning
Tor vs Proxy	Whonix_versus_Proxies
Tor-ctrl-observe	tor-ctrl-observer
TorBirdy	E-Mail#TorBirdy
TorBrowser	Tor Browser
TorChat	Chat#TorChat
TorController	Tor Controller
Transporting UDP Tunnels over Tor	Tunnel_UDP_over_Tor
Trezor Hardware Wallet	Moved:Trezor_Hardware_Wallet
Trusting Whonix Signing Key	Signing Key
TrustingWhonixSigningKey	Signing Key
